tick,world_gdp,mean_stability,wars,collapsed,price_energy,price_food,price_chips,mean_inflation,mean_debt_gdp,defaults,mean_unemployment,global_co2
778,11.6847,28.1,0,20,1.15,2.2952,1.4843,0.09347,232.0,1956,10.66,42810.5
779,11.6567,27.7,1,24,1.15,2.2952,1.4843,0.09295,233.5,1958,10.73,42871.0
780,11.631,27.94,0,23,1.15,2.2952,1.4843,0.09329,234.1,1961,10.75,42930.6
781,11.6115,27.74,0,24,1.15,2.2952,1.4843,0.09201,236.3,1962,10.77,42987.2
782,11.5822,28.06,0,21,1.15,2.2952,1.4843,0.09417,235.3,1967,10.78,43043.2
783,11.5572,27.79,0,21,1.15,2.2952,1.4843,0.09689,232.5,1973,10.83,43097.3
784,11.5303,27.9,0,17,1.15,2.2952,1.4843,0.09566,233.9,1975,10.92,43152.0
785,11.4979,27.96,0,14,1.15,2.2952,1.4843,0.0963,233.1,1979,10.96,43208.5
786,11.4615,27.85,0,16,1.15,2.2952,1.4843,0.09678,233.0,1983,11.0,43269.1
787,11.4263,27.54,0,16,1.15,2.2952,1.4843,0.09806,232.6,1988,11.04,43330.6
788,11.3905,27.41,0,19,1.15,2.2952,1.4843,0.0974,232.4,1991,11.1,43394.0
789,11.3593,27.08,0,23,1.15,2.2952,1.4843,0.10015,229.9,1998,11.13,43454.1
790,11.3307,27.0,0,24,1.15,2.2952,1.4843,0.09839,231.3,2000,11.21,43513.1
791,11.3051,26.69,0,24,1.15,2.2952,1.4843,0.10035,228.9,2006,11.24,43568.2
792,11.2757,26.68,0,24,1.15,2.2952,1.4843,0.10206,227.3,2012,11.29,43625.3
793,11.2457,26.62,0,23,1.15,2.2952,1.4843,0.10272,226.1,2017,11.37,43677.4
794,11.21,26.96,0,21,1.15,2.2952,1.4843,0.10232,226.2,2021,11.45,43733.0
795,11.1787,26.97,0,18,1.15,2.2952,1.4843,0.10859,219.3,2033,11.51,43789.6
796,11.148,26.69,0,18,1.15,2.2952,1.4843,0.10707,218.3,2037,11.67,43850.1
797,11.1157,26.33,0,19,1.15,2.2952,1.4843,0.1049,219.2,2040,11.77,43909.6
798,11.0829,27.02,0,15,1.0,2.2952,1.4843,0.0924,221.3,2041,11.6,43973.1
799,11.0529,26.84,0,18,1.15,2.2952,1.4843,0.09405,220.0,2046,11.44,44035.6
800,11.0254,26.3,0,17,1.15,2.2952,1.4843,0.10891,216.8,2054,11.57,44094.7
801,10.9971,26.29,0,20,1.15,2.2952,1.4843,0.10752,217.0,2058,11.71,44152.2
802,10.9707,26.26,0,22,1.15,2.2952,1.4843,0.1056,217.7,2061,11.78,44207.8
